Participant	Trial	Condition	Frame_ID	Word_pred	FFD_ms	GD_ms	TRT_ms
2	30	4	40	0.1	183.3	183.3	183.3
2	21	1	41	0.15	183.3	183.3	183.3
2	10	2	42	0	466.6	466.6	649.6
2	37	3	43	0.25	99.4	99.4	99.4
2	33	4	44	0	84.2	84.2	300.4
2	2	1	45	0	199.9	282.5	282.5
2	23	2	46	0.3	133.8	133.8	1051.7
2	29	3	47	0	116.2	116.2	116.2
2	26	4	48	0.1	250.9	250.9	250.9
2	15	1	49	0.1	99.2	99.2	99.2
2	3	2	50	0.9	317.2	317.2	317.2
2	16	1	51	0.9	0	0	0
2	4	4	52	0.65	333.1	1350.5	1350.5
2	19	1	53	0.1	100	100	200
2	28	2	54	0.95	99.8	315.5	315.5
2	40	3	55	0	83.2	166.4	166.4
2	17	4	56	0.6	682.9	682.9	765.7
2	18	1	57	0.4	0	0	0
2	12	2	58	0.65	0	0	0
2	6	3	59	0.8	166.7	166.7	166.7
2	36	4	60	0.1	0	0	0
2	8	1	61	0.05	283.7	283.7	283.7
2	14	2	62	0	0	0	0
2	30	3	63	0.15	116.5	116.5	116.5
2	24	3	64	0	100.3	750.1	750.1
2	11	1	65	0	133.2	133.2	266.5
2	35	2	66	0.15	0	0	0
2	38	3	67	0.05	99.5	99.5	182.5
2	9	4	68	0.05	116.4	116.4	116.4
2	34	1	69	0	0	0	0
2	22	2	70	0.3	133.5	133.5	702.2
2	5	3	71	0.05	583.3	583.3	583.3
2	13	4	72	0.6	233.3	233.3	233.3
2	1	1	73	0	248.4	380.2	529.4
2	31	2	74	0	0	0	0
2	20	3	75	0.45	219.4	219.4	219.4
2	7	4	76	0	516.4	599.6	1449
2	39	1	77	0	0	0	0
2	27	2	78	0.05	283.2	283.2	681.2
2	25	3	79	0.1	383.2	582.7	683
2	32	4	80	0.6	233.5	417.9	417.9
3	37	2	1	0	366.6	366.6	366.6
3	21	3	2	0.2	266.4	266.4	266.4
3	39	4	3	0.2	449.8	1282.1	1282.1
3	25	1	4	0	0	0	0
3	3	2	5	0.4	250.6	250.6	250.6
3	5	3	6	0.95	283.5	2082.8	2082.8
3	40	4	7	0	600.2	3016.1	4682.2
3	14	2	8	0.5	166.7	166.7	166.7
3	23	2	9	0	866.3	866.3	1333.8
3	16	3	10	0.7	149.9	149.9	666.3
3	9	4	11	0.6	933.1	933.1	933.1
3	20	1	12	0.3	199.4	199.4	199.4
3	18	2	13	0.15	680.7	680.7	680.7
3	26	3	14	0.4	216.6	216.6	916
3	17	4	15	0	249.9	1682.7	1682.7
3	35	1	16	0	194.9	194.9	194.9
3	6	2	17	0	1399.5	1399.5	1399.5
3	29	3	18	0.3	249.8	249.8	249.8
3	4	4	19	0.8	850.5	850.5	850.5
3	30	1	20	0.05	1099.8	1300.3	1300.3
3	27	2	21	0	431.9	431.9	431.9
3	38	3	22	0.45	1649.3	1649.3	1649.3
3	19	4	23	0.15	433.1	433.1	1266.7
3	2	1	24	0	532.7	1049.2	1049.2
3	24	2	25	0	349.8	349.8	1899.2
3	31	3	26	0.05	499.2	499.2	1448.2
3	36	4	27	0	466.4	1551.1	1551.1
3	13	1	28	0	149.1	149.1	149.1
3	1	2	29	0	266.4	266.4	2184.2
3	22	3	30	0.5	899.6	899.6	899.6
3	33	4	31	0	199.9	199.9	199.9
3	32	1	32	0.35	733.1	2100.3	2100.3
3	34	2	33	0	433.8	433.8	433.8
3	8	3	34	0.2	266.6	1482.8	1482.8
3	12	4	35	0.1	399.8	550.9	866.7
3	7	1	36	0.05	516.4	516.4	516.4
3	28	2	37	0.05	667.4	667.4	667.4
3	15	3	38	0.1	799.6	1516.1	1516.1
3	10	4	39	0.35	665.7	665.7	665.7
3	11	1	40	0.1	0	0	0
3	3	2	41	0.15	216.8	216.8	216.8
3	28	3	42	0	116.3	116.3	299.6
3	6	4	43	0.25	683.5	683.5	683.5
3	4	1	44	0	483.8	967	967
3	1	2	45	0	182.5	182.5	182.5
3	13	3	46	0.3	416.6	416.6	416.6
3	19	4	47	0	683.1	766.4	983
3	11	1	48	0.1	566.4	566.4	566.4
3	23	2	49	0.1	99.8	99.8	1997.4
