Participant_Num	Frame_Num	Condition	Fixation_Num	Pupil_Size	Fixation_Time	Trial	Word_pred
1	27	2	2	2.7	333.1	70	0
1	27	2	3	2.8	100	70	0
1	27	2	4	NA	99.8	70	0
1	27	2	5	NA	83.2	70	0
1	28	3	1	2.8	682.9	9	0
1	28	3	2	2.8	NA	9	0
1	28	3	3	2.9	NA	9	0
1	28	3	4	2.9	166.7	9	0
1	28	3	5	2.8	NA	9	0
1	29	4	1	2.5	283.7	41	0
1	29	4	2	2.5	NA	41	0
1	29	4	3	2.6	116.5	41	0
1	29	4	4	2.6	100.3	41	0
1	29	4	5	2.5	133.2	41	0
1	30	1	1	2.6	NA	66	0.5
1	30	1	2	2.6	99.5	66	0.5
1	30	1	3	2.7	116.4	66	0.5
1	30	1	4	2.9	NA	66	0.5
1	30	1	5	2.6	133.5	66	0.5
1	31	2	1	2.6	583.3	45	0
1	31	2	2	2.5	233.3	45	0
1	31	2	3	2.6	248.4	45	0
1	31	2	4	2.6	NA	45	0
1	31	2	5	2.5	219.4	45	0
1	32	3	1	2.6	516.4	27	0.35
1	32	3	2	2.7	NA	27	0.35
1	32	3	3	2.8	283.2	27	0.35
1	32	3	4	2.6	383.2	27	0.35
1	32	3	5	2.7	233.5	27	0.35
1	33	4	1	2.6	366.6	72	0
1	33	4	2	2.6	266.4	72	0
1	33	4	3	2.6	449.8	72	0
1	33	4	4	2.7	NA	72	0
1	33	4	5	2.6	250.6	72	0
1	34	1	1	2.6	283.5	20	0.2
1	34	1	2	2.7	600.2	20	0.2
1	34	1	3	2.8	866.3	20	0.2
1	34	1	4	2.9	166.7	20	0.2
1	34	1	5	2.7	149.9	20	0.2
1	35	2	1	2.9	933.1	31	0.1
1	35	2	2	2.8	199.4	31	0.1
1	35	2	3	2.7	680.7	31	0.1
1	35	2	4	2.7	216.6	31	0.1
1	35	2	5	2.8	249.9	31	0.1
1	36	3	1	2.4	194.9	68	0.05
1	36	3	2	2.5	1399.5	68	0.05
1	36	3	3	2.6	249.8	68	0.05
1	36	3	4	2.7	850.5	68	0.05
1	36	3	5	2.5	1099.8	68	0.05
1	37	4	1	2.8	431.9	11	0.05
1	37	4	2	2.8	1649.3	11	0.05
1	37	4	3	2.8	433.1	11	0.05
1	37	4	4	2.9	532.7	11	0.05
1	37	4	5	2.8	349.8	11	0.05
1	38	1	1	2.6	499.2	55	0.1
1	38	1	2	2.7	466.4	55	0.1
1	38	1	3	2.8	149.1	55	0.1
1	38	1	4	2.8	266.4	55	0.1
1	38	1	5	2.7	899.6	55	0.1
1	39	2	1	2.7	199.9	36	0.35
1	39	2	2	2.7	733.1	36	0.35
1	39	2	3	2.8	433.8	36	0.35
1	39	2	4	2.7	266.6	36	0.35
1	39	2	5	2.7	399.8	36	0.35
1	40	3	1	2.6	516.4	23	0.1
1	40	3	2	2.6	667.4	23	0.1
1	40	3	3	2.5	799.6	23	0.1
1	40	3	4	2.5	665.7	23	0.1
1	40	3	5	2.6	NA	23	0.1
1	41	4	1	2.6	216.8	53	0.15
1	41	4	2	2.6	116.3	53	0.15
1	41	4	3	2.6	683.5	53	0.15
1	41	4	4	2.6	483.8	53	0.15
1	41	4	5	2.6	182.5	53	0.15
1	42	1	1	2.8	416.6	67	0
1	42	1	2	2.7	683.1	67	0
1	42	1	3	2.8	566.4	67	0
1	42	1	4	2.9	99.8	67	0
1	42	1	5	2.7	200.3	67	0
1	43	2	1	2.6	433.5	61	0.25
1	43	2	2	2.7	349.8	61	0.25
1	43	2	3	2.7	682.3	61	0.25
1	43	2	4	2.8	133.4	61	0.25
1	43	2	5	2.7	98.3	61	0.25
1	44	3	1	2.7	200.2	2	0
1	44	3	2	2.7	465.3	2	0
1	44	3	3	2.8	699.7	2	0
1	44	3	4	2.8	515.9	2	0
1	44	3	5	2.7	224.8	2	0
1	45	4	1	2.8	1282.1	80	0
1	45	4	2	2.8	966.3	80	0
1	45	4	3	2.9	299.8	80	0
1	45	4	4	2.7	249.3	80	0
1	45	4	5	NA	133.8	80	0
1	46	1	1	2.7	533.4	73	0.3
1	46	1	2	2.7	415.7	73	0.3
1	46	1	3	2.7	NA	73	0.3
1	46	1	4	2.7	249.9	73	0.3
1	46	1	5	NA	715.1	73	0.3
1	47	2	1	2.6	333.6	33	0
1	47	2	2	2.6	NA	33	0
1	47	2	3	2.7	400.1	33	0
1	47	2	4	2.7	200.7	33	0
1	47	2	5	2.6	416.5	33	0
1	48	3	1	2.6	NA	35	0.1
1	48	3	2	2.6	1299.5	35	0.1
1	48	3	3	2.6	217.5	35	0.1
1	48	3	4	2.6	383.2	35	0.1
1	48	3	5	NA	866.6	35	0.1
1	49	4	1	2.6	617.6	60	0.1
1	49	4	2	2.6	NA	60	0.1
1	49	4	3	2.7	149.9	60	0.1
1	49	4	4	2.7	615.4	60	0.1
1	49	4	5	2.6	1334	60	0.1
1	50	1	1	2.4	833	49	0.9
1	50	1	2	2.4	166.1	49	0.9
1	50	1	3	2.6	366.5	49	0.9
1	50	1	4	2.7	266.6	49	0.9
1	50	1	5	2.4	316.4	49	0.9
1	51	2	1	2.7	466.7	47	0.9
1	51	2	2	2.8	817.3	47	0.9
1	51	2	3	2.8	2032.7	47	0.9
1	51	2	4	2.8	850	47	0.9
1	51	2	5	NA	199.8	47	0.9
1	52	3	1	2.7	1198.8	54	0.65
1	52	3	2	2.7	249.9	54	0.65
1	52	3	3	2.7	483.1	54	0.65
1	52	3	4	2.6	366.6	54	0.65
1	52	3	5	2.7	916.2	54	0.65
1	53	4	1	2.3	482.9	19	0.1
1	53	4	2	2.4	1282.9	19	0.1
1	53	4	3	2.5	366.5	19	0.1
1	53	4	4	2.6	267.1	19	0.1
1	53	4	5	2.4	283.6	19	0.1
1	54	1	1	2.2	350	46	0.95
1	54	1	2	2.6	250.5	46	0.95
1	54	1	3	2.6	165	46	0.95
1	54	1	4	2.8	150.6	46	0.95
1	54	1	5	NA	733.1	46	0.95
1	55	2	1	2.6	NA	51	0
1	55	2	2	2.7	1316.2	51	0
1	55	2	3	2.7	533.1	51	0
1	55	2	4	2.7	1214.6	51	0
1	55	2	5	NA	384.4	51	0
1	56	3	1	2.8	366.6	12	0.6
1	56	3	2	2.8	1099.6	12	0.6
1	56	3	3	2.8	1466.9	12	0.6
1	56	3	4	2.7	317.5	12	0.6
1	56	3	5	2.8	1682.8	12	0.6
1	57	4	1	2.8	249.4	5	0.4
1	57	4	2	2.8	1799.1	5	0.4
1	57	4	3	2.8	349.8	5	0.4
1	57	4	4	2.8	166.5	5	0.4
1	57	4	5	2.8	649.9	5	0.4
1	58	1	1	2.7	666.8	15	0.65
1	58	1	2	2.7	666.5	15	0.65
1	58	1	3	2.6	566.3	15	0.65
